PLAYER,TM,POS,GP,GS,MIN,FG,FGA,X3P,X3PA,FT,FTA,OR,DR,TR,AST,STL,TO,Blk,PF,PTS
Jamaal Tinsley,UTH,PG,65,32,1203,85,231,38,124,18,26,17,97,114,283,63,103,13,103,226
Jamal Crawford,LAC,SG,76,0,2231,445,1016,149,396,216,248,22,106,128,193,79,146,13,71,1255
Jameer Nelson,ORL,PG,56,56,1975,306,780,121,355,89,102,23,186,209,413,71,154,6,161,822
James Anderson,HOU,SG,29,2,308,44,110,18,55,17,20,15,43,58,35,13,19,3,20,123
James Anderson,SAS,SG,10,0,95,11,25,5,11,7,9,3,11,14,9,3,7,2,7,34
James Harden,HOU,SG,78,78,2974,576,1326,175,480,677,794,64,313,377,454,142,294,38,180,2004
James Johnson,SAC,PF,53,11,870,117,281,2,21,40,65,48,94,142,56,41,68,50,99,276
James Jones,MIA,SF,37,0,198,20,55,15,47,2,3,0,21,21,12,2,3,6,14,57
James White,NYK,SG,56,16,433,50,116,14,41,11,19,5,43,48,29,13,17,4,44,125
Jan Vesely,WAS,SF,52,4,606,57,114,0,1,12,39,43,79,122,28,15,27,17,107,126
Jannero Pargo,ATL,PG,7,0,114,13,38,7,20,2,2,1,6,7,19,3,5,0,8,35
Jannero Pargo,CHA,PG,18,0,304,59,149,29,77,7,8,8,16,24,35,14,29,2,29,154
Jannero Pargo,WAS,PG,7,0,103,8,32,3,20,2,2,0,6,6,14,0,8,1,8,21
Jared Cunningham,DAL,SG,8,0,26,6,14,2,3,2,2,1,2,3,1,1,2,0,3,16
Jared Dudley,PHO,SG,78,50,2146,312,665,105,267,126,158,79,164,243,200,74,100,8,126,855
Jared Jeffries,POR,PF,38,0,350,16,54,0,2,12,23,26,34,60,14,6,17,6,58,44
Jared Sullinger,BOS,PF,45,5,889,111,225,1,5,47,63,92,172,264,35,22,29,22,154,270
Jarrett Jack,GSW,PG,78,4,2322,382,846,80,200,165,196,19,222,241,434,57,156,11,133,1009
Jarvis Varnado,BOS,PF,5,0,18,2,4,0,0,2,4,1,2,3,1,1,1,0,1,6
Jarvis Varnado,MIA,PF,8,0,41,1,3,0,0,0,0,1,5,6,2,0,5,2,9,2
Jason Collins,BOS,C,32,7,328,8,23,0,0,21,30,21,31,52,6,10,16,6,74,37
Jason Collins,WAS,C,7,2,56,1,7,0,0,2,2,1,7,8,2,2,2,4,11,4
Jason Kidd,NYK,PG,75,48,2021,150,404,113,322,40,48,49,267,316,247,124,76,24,123,453
Jason Maxiell,DET,PF,72,71,1791,204,457,0,0,90,145,135,274,409,54,32,81,95,172,498
Jason Richardson,PHI,SG,33,33,939,135,336,57,167,20,33,19,108,127,51,40,26,15,57,347
Jason Smith,NOR,PF,51,0,875,167,341,0,4,86,102,64,122,186,34,15,55,45,123,420
Jason Terry,BOS,SG,78,24,2096,278,638,121,324,114,131,19,137,156,195,65,102,11,108,791
Jason Thompson,SAC,PF,81,80,2250,368,732,0,3,139,201,169,364,533,80,48,98,60,226,875
JaVale McGee,DEN,C,80,0,1446,305,530,1,1,110,186,158,226,384,25,30,90,156,185,721
Jeff Adrien,CHA,SF,53,5,727,74,171,0,2,65,100,68,133,201,36,18,32,27,83,213
Jeff Green,BOS,PF,80,16,2220,368,793,69,181,208,257,54,255,309,124,56,130,68,171,1013
Jeff Pendergraph,IND,PF,38,0,377,62,127,2,4,21,23,30,77,107,15,6,23,12,45,147
Jeff Teague,ATL,PG,80,78,2622,438,972,87,243,197,224,25,157,182,576,118,228,28,178,1160
Jeffery Taylor,CHA,SG,76,29,1504,171,397,52,153,75,103,51,99,150,63,47,48,15,136,469
Jeremy Evans,UTH,SF,37,0,215,27,44,0,1,21,33,26,32,58,11,8,8,13,30,75
Jeremy Lamb,OKC,SG,23,0,147,24,68,9,30,14,14,5,13,18,5,2,6,2,13,71
Jeremy Lin,HOU,PG,82,82,2642,396,899,87,259,217,276,31,214,245,497,130,233,29,206,1096
Jeremy Pargo,CLE,PG,25,11,450,75,187,18,57,28,41,7,25,32,64,12,37,2,32,196
